scope,method,targets,recall_at_1,recall_at_5,recall_at_10,recall_at_50,mrr,best_rank_74,best_rank_6,best_rank_80
one_example_best_over_filler_cells,j_lens,3,0.333333,0.666667,0.666667,0.666667,0.403746,1,5,89
one_example_best_over_filler_cells,logit_lens,3,0.000000,0.333333,0.333333,0.666667,0.198773,2,12,77
