filler_length,n,correct,accuracy,accuracy_difference_vs_k0,accuracy_difference_ci_low,accuracy_difference_ci_high,exact_mcnemar_p,median_target_rank,mean_reciprocal_rank,mean_reciprocal_rank_difference_vs_k0,mean_target_log_probability,mean_target_log_probability_difference_vs_k0,filler_better_rank_count,baseline_better_rank_count,exact_rank_sign_test_p,median_prompt_tokens,maximum_prompt_tokens
0,100,41,0.41,0.0,0.0,0.0,1.0,2.0,0.5343695372138109,0.0,-3.241543159484863,0.0,0,0,1.0,188.0,191
1,100,38,0.38,-0.03,-0.1,0.04,0.60723876953125,2.0,0.5131502221824514,-0.021219315031359393,-3.1921463203430176,0.0493968391418457,30,31,1.0,233.0,236
5,100,40,0.4,-0.01,-0.09,0.07,1.0,3.0,0.5092302086518199,-0.025139328561990974,-3.295870704650879,-0.05432754516601562,23,36,0.11747735024505848,257.0,260
10,100,42,0.42,0.01,-0.05,0.08,1.0,2.0,0.546735268028574,0.012365730814763144,-3.249794464111328,-0.008251304626464845,24,30,0.4966174353179338,287.0,290
25,100,40,0.4,-0.01,-0.09,0.07,1.0,2.0,0.5342509555953151,-0.00011858161849575328,-3.112585773468018,0.1289573860168457,29,26,0.7877061896700435,377.0,380
50,100,44,0.44,0.03,-0.05,0.12,0.6476058959960938,2.0,0.5432730906093585,0.00890355339554758,-3.306728763580322,-0.06518560409545898,30,27,0.7913664277791806,527.0,530
100,100,45,0.45,0.04,-0.05,0.13,0.5234670639038086,2.0,0.5940324576270862,0.059662920413275394,-2.5006423568725586,0.7409008026123047,37,21,0.04794032407166697,827.0,830
